rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,av_training_set,campaign,tce_depth,tce_impact
15794,206345844,1,0.10212411,2905.612727,0.058823487, J,12,0.114926055,0.01
15795,206352083,1,30.47257254,2934.684303,4.034658225, J,12,0.706627032,0.000693463
15796,206353615,1,0.224822178,2905.592705,0.129497575, J,12,0.084611964,0.01
15797,206356841,1,26.35011597,2930.769651,1.881822237, J,12,0.300082703,0.01351694
15798,206363823,1,0.10212411,2905.612746,0.058823487, J,12,0.824721384,0.01
15799,206365534,1,0.122632883,2905.631349,0.070636541, J,12,0.910411982,0.01
15800,206366911,1,0.10212411,2905.633152,0.058823487, J,12,0.063724469,0.01
15801,206368361,1,0.102197997,2905.631138,0.058866046, J,12,0.056177611,0.01
15802,206368822,1,0.10212411,2905.633153,0.058823487, J,12,0.148511779,0.01
15803,206369289,1,0.10212411,2905.633152,0.058823487, J,12,0.167501451,0.01
15804,206372285,1,0.10212411,2905.653572,0.058823487, J,12,0.057659664,0.01
15805,206373112,1,0.10205029,2905.655562,0.058780967, J,12,0.101131247,0.01
15806,206375155,1,0.10212411,2905.633151,0.058823487, J,12,0.051373978,0.01
15807,206383215,1,26.33005858,2930.768791,2.908961899, J,12,0.103137401,0.946054626
15808,206389192,1,27.51515284,2930.77427,2.165122811, J,12,0.083854208,0.01
15809,206391559,1,26.35016386,2930.774011,1.938962797, J,12,6.324171759,0.000500008
15810,206395773,1,0.204248905,2905.652552,0.117647369, J,12,0.304941195,0.01
15811,206397108,1,26.350132,2930.767944,1.667275144, J,12,0.282156368,0.000814875
15812,206397829,1,26.35007569,2930.763419,1.126737234, J,12,2.86711599,0.017129116
15813,206397872,1,26.35017683,2930.778814,2.072441136, J,12,0.191923203,0.474575031
15814,206402840,1,21.58379372,2919.026019,1.725933792, J,12,0.045767437,0.407091736
15815,206403639,1,9.829553092,2915.004931,4.45744368, J,12,0.050089624,0.653028161
15816,206404628,1,38.98894492,2944.529026,2.131712373, J,12,0.342882462,0.999657512
15817,206406028,1,13.77523794,2916.911979,2.826958487, J,12,0.050940304,0.431819361
15818,206407451,1,26.32993276,2930.748123,2.05899447, J,12,0.474932587,0.216337565
15819,206408960,1,0.122632883,2905.646051,0.070636541, J,12,0.039913643,0.01
15820,206410644,1,26.35010855,2930.762542,1.358145829, J,12,0.37210618,0.001727348
15821,206413520,1,13.79229379,2916.894706,2.899470166, J,12,0.050689632,0.461140633
15822,206416289,1,26.28968623,2930.781459,2.526797798, J,12,0.197803528,0.094581447
15823,206417811,1,26.37042293,2930.768792,2.131725844, J,12,0.049884564,0.041498059
15824,206417919,1,38.99149484,2944.52184,1.812736309, J,12,0.23535298,0.941571084
15825,206420226,1,13.72405587,2917.077627,0.25, J,12,0.33770505,1.089808372
15826,206421201,1,13.72426499,2917.077108,0.250637683, J,12,0.126135342,0.839516482
15827,206425110,1,26.35018042,2930.777929,2.375037039, J,12,0.225391835,0.117797584
15828,206425692,1,0.102185674,2905.588212,0.058858948, J,12,0.047889269,0.01
15829,206426809,1,17.88851338,2920.320469,0.632237082, J,12,0.036468488,0.751568732
15830,206426987,1,17.09342159,2920.268842,0.25, J,12,1.832034326,0.000499978
15831,206429345,1,31.78456476,2905.760065,1.000701138, J,12,0.047380125,0.718558474
15832,206431654,1,18.23081611,2920.541667,2.112587481, J,12,0.115005622,0.000364146
15833,206434685,1,38.99174207,2944.480581,3.015910724, J,12,0.075424334,0.489465433
15834,206437239,1,17.01377264,2905.944141,0.503580488, J,12,0.166435302,0.672656617
15835,206438094,1,36.82152766,2941.122837,1.798718151, J,12,0.427933202,1.044033273
15836,206439140,1,39.26431385,2940.641678,1.604835708, J,12,0.150665903,0.032306427
15837,206439532,1,0.10212411,2905.590244,0.058823487, J,12,0.940059401,0.01
15838,206439828,1,36.32623472,2940.896877,1.182073184, J,12,2.094169221,1.61598007
15839,206440193,1,34.70558752,2905.757391,5.294039203, J,12,0.040953385,0.912861582
15840,206440527,1,13.80930306,2916.895038,1.14498704, J,12,0.117715498,0.00085071
15841,206441790,1,26.84124501,2930.752891,3.576894008, J,12,0.056201982,0.047663013
15842,206444571,1,36.98613774,2940.947245,1.128850824, J,12,0.255504035,0.293961542
15843,206445273,1,13.72415773,2917.077235,0.25, J,12,0.30712123,1.021700458
15844,206445903,1,37.46632317,2941.002131,1.399873664, J,12,0.214296177,0.027183466
15845,206446760,1,38.65273252,2941.26489,1.86919825, J,12,0.063274972,0.094779686
15846,206447576,1,38.62435064,2941.277326,1.189943016, J,12,0.138722277,0.222149041
15847,206451635,1,13.75823431,2917.010411,1.754371705, J,12,0.047562124,0.000499999
15848,206452442,1,26.35011061,2930.763892,1.43131819, J,12,0.643371648,0.087886704
15849,245908850,1,0.143073484,2905.645754,0.082410327, J,12,0.084845572,0.01
15850,245911170,1,32.87120593,2930.803132,1.121676703, J,12,0.105777758,0.869788711
15851,245911499,1,9.770140442,2915.096552,2.565402618, J,12,0.03708794,0.310394408
15852,245911690,1,9.763953157,2915.138234,2.323742856, J,12,0.191554449,1.098869289
15853,245912213,1,1.649738179,2905.773371,3.492476359, E,12,0.473176306,0.952862563
15854,245912234,1,1.649719136,2905.773952,3.501621156, E,12,0.473263123,0.952633925
15855,245912429,1,28.95593513,2905.764578,1.769869454, J,12,0.079748308,0.987099229
15856,245912771,1,28.88512702,2905.74523,2.544670412, J,12,0.025703822,0.625681897
15857,245913860,1,26.67679272,2905.779503,4.474110331, J,12,0.058626667,0.018881639
15858,245914263,1,28.3884318,2930.709312,1.802374856, J,12,0.055195907,0.371059082
15859,245915256,1,4.891309177,2910.202452,2.128893957, J,12,0.027743988,0.235245271
15860,245915388,1,9.759339891,2915.144183,3.145683466, J,12,0.027952721,0.000500002
15861,245915584,1,9.775498786,2915.099163,2.260780846, J,12,0.029786899,0.619324041
15862,245915637,1,0.143073484,2905.686221,0.082410327, J,12,0.060589727,0.01
15863,245916407,1,26.70517025,2905.733032,4.416923276, J,12,0.064742895,0.000437533
15864,245916529,1,4.887039919,2910.253576,4.170945883, J,12,0.017542082,0.574106168
15865,245917331,1,26.98555267,2930.733769,1.408176429, J,12,0.07047919,0.664243834
15866,245917677,1,2.722683896,2906.496839,3.0853123, E,12,0.187736858,0.716331851
15867,245917801,1,28.90552145,2905.730548,3.999317367, J,12,0.072209247,0.980981133
15868,245919488,1,9.780525062,2915.069432,3.453805024, J,12,0.026820169,0.515255004
15869,245919642,1,0.122632839,2905.585059,0.070636515, J,12,0.096506274,0.01
15870,245919728,1,9.775483127,2915.063907,4.075507672, J,12,0.043457999,0.000500272
15871,245919858,1,9.775582624,2915.09462,2.84695817, J,12,0.033919559,0.919299205
15872,245919903,1,14.43340649,2905.75872,3.037667575, J,12,0.030824662,0.128501072
15873,245919948,1,9.764566361,2915.124167,3.115199615, J,12,0.13239591,1.041850043
15874,245919964,1,26.79933046,2930.74711,3.106795638, J,12,0.059255161,0.518695799
15875,245920077,1,28.38810162,2930.750569,3.773547877, J,12,0.048775269,0.437419775
15876,245920400,1,28.88600872,2905.750102,2.051725664, J,12,0.022877957,0.009690479
15877,245920559,1,13.83451181,2916.870633,1.263605243, J,12,0.035585805,0.494086341
15878,245920860,1,0.122632839,2905.585059,0.070636515, J,12,0.056275598,0.01
15879,245921591,1,34.18453886,2924.903257,2.426818821, J,12,0.043686059,0.826104297
15880,245921648,1,0.102185667,2905.64574,0.058858944, J,12,0.01263049,0.01
15881,245921843,1,26.69657957,2905.745175,3.80475729, J,12,0.072404782,0.000677355
15882,245922178,1,18.39213989,2916.258265,3.781134791, J,12,0.025495313,0.000500003
15883,245922276,1,9.775905132,2915.095324,3.31539238, J,12,0.023420649,0.956038254
15884,245922416,1,26.79956591,2930.752091,3.689523484, J,12,0.052449147,0.000593295
15885,245922788,1,30.3001414,2923.182047,2.293535615, J,12,0.179872519,0.000881224
15886,245922881,1,28.86495872,2905.754982,3.341870657, J,12,0.037143327,0.151417724
15887,245922922,1,9.743347248,2915.1475,1.480139119, J,12,0.036457716,0.198695683
15888,245922969,1,33.39246588,2930.811043,0.804271934, J,12,0.226225381,0.689067502
15889,245923027,1,0.122632824,2905.585135,0.070636507, J,12,0.117014594,0.01
15890,245923045,1,9.829770454,2915.007265,4.021793088, J,12,0.036309682,0.262988792
15891,245923066,1,26.69628983,2905.745185,5.51069781, J,12,0.043762302,0.936337015
15892,245923331,1,9.781083148,2915.06448,3.135916392, J,12,0.046994766,0.000505898
15893,245923358,1,28.86680704,2905.746624,3.2750298, J,12,0.047208722,0.257502962
15894,245923360,1,0.102185674,2905.670056,0.058858948, J,12,0.092927924,0.01
15895,245923445,1,26.71590312,2905.726834,3.692755986, J,12,0.078766816,0.000497267
15896,245923710,1,26.71175707,2905.728637,3.400362564, J,12,0.072761271,0.023169959
15897,245923777,1,26.84094951,2930.740675,3.351194827, J,12,0.053955027,0.372220091
15898,245923804,1,26.67575559,2905.75339,4.567189927, J,12,0.076276952,0.902385789
15899,245924028,1,28.38924452,2930.738569,4.319089236, J,12,0.02673212,0.035206043
15900,245924278,1,9.829738949,2915.006544,4.069269379, J,12,0.036702481,0.66731384
15901,245924453,1,28.41115233,2930.727035,3.820428948, J,12,0.038528032,0.007346174
15902,245924913,1,28.36643118,2930.748463,2.75100182, J,12,0.043555929,0.225891692
15903,245924999,1,25.79207572,2908.893585,2.157513695, J,12,0.03067795,0.61619993
15904,245925004,1,9.770074014,2915.116134,1.556959777, J,12,0.047198469,0.47743386
15905,245925092,1,9.829767788,2915.006195,4.12598071, J,12,0.03814271,0.000499857
15906,245925480,1,6.206531118,2910.726772,5.279370647, E,12,0.199499194,0.813235486
15907,245925615,1,28.39168325,2930.748915,3.843549176, J,12,0.05066409,0.520467051
15908,245925724,1,26.34983242,2930.763246,1.307780695, J,12,0.429552737,0.007831698
15909,245926257,1,9.772189691,2915.087196,3.110121329, J,12,0.048996054,0.305320079
15910,245926489,1,9.759553951,2915.121522,2.599410868, J,12,0.040934259,0.653349245
15911,245926935,1,24.4463876,2910.200231,1.735588108, J,12,0.070081026,0.365066567
15912,245927541,1,28.38947623,2930.700985,2.971995571, J,12,0.428604477,1.328725411
15913,245927617,1,29.65248858,2924.176329,2.085952385, J,12,0.110197747,0.879129734
15914,245927760,1,9.818956967,2915.031884,3.429942452, J,12,0.032737563,0.556000354
15915,245927911,1,9.829779787,2915.006447,4.135901471, J,12,0.037487018,0.010492398
15916,245928102,1,11.10825999,2916.379688,2.3594242, C,12,0.035869677,0.355714746
15917,245928245,1,28.90548635,2905.734085,4.843374783, J,12,0.107798325,1.001219681
15918,245928300,1,26.67559104,2905.774177,4.148152743, J,12,0.048904987,0.000499998
15919,245928441,1,3.902548149,2907.312168,1.245302344, J,12,0.035429488,0.509347705
15920,245928456,1,26.47149048,2931.484336,1.29892085, J,12,0.097447526,0.238269419
15921,245928676,1,28.89020075,2905.736783,4.297790219, J,12,0.059579443,0.916086989
15922,245928841,1,9.775685578,2915.086554,2.900970166, J,12,0.051687427,0.35106113
15923,245928899,1,9.770116002,2915.092199,3.492067708, J,12,0.016462967,0.486419294
15924,245929003,1,26.81960045,2930.71254,1.830798748, J,12,0.065819942,0.66558463
15925,245929056,1,24.98434479,2905.740724,3.955281128, J,12,0.042616233,0.000499998
15926,245929080,1,26.69585718,2905.757566,4.518433308, J,12,0.082701499,0.000729393
15927,245929122,1,28.38861846,2930.708899,1.601813993, J,12,0.049444635,0.728930284
15928,245929185,1,9.775461286,2915.082257,3.132271217, J,12,0.042729553,0.002526194
15929,245929272,1,0.122538663,2905.600424,0.07058227, J,12,0.073752131,0.01
15930,245929407,1,28.14853255,2927.12582,5.5953407, R,12,0.155762746,0.788773316
15931,245929424,1,26.3498443,2930.781056,2.282699464, J,12,0.42931104,0.939576432
15932,245929437,1,28.38883022,2930.708756,1.769724262, J,12,0.053589829,0.418189883
15933,245929602,1,13.70699175,2917.098304,1.124843481, J,12,0.056511071,0.445563855
15934,245929617,1,9.770110919,2915.117033,1.61724717, J,12,0.039900693,0.001163489
15935,245929718,1,9.759413943,2915.149335,2.96670972, J,12,0.026483776,0.445216991
15936,245929889,1,0.18385537,2905.63652,0.105900693, J,12,0.128473681,0.01
15937,245930022,1,28.88605951,2905.750923,2.211105195, J,12,0.019123766,0.35196835
15938,245930109,1,28.38914677,2930.73765,4.6273836, J,12,0.035045003,0.924122944
15939,245930369,1,6.662015077,2905.75284,11.6391837, J,12,0.045247163,0.015400977
15940,245930702,1,3.934392717,2909.123457,0.665764444, J,12,0.033932797,0.680948815
15941,245930749,1,9.754187568,2915.128864,5.119675484, J,12,0.06681048,1.00940757
15942,245930808,1,26.3297568,2930.781361,2.639813847, J,12,0.479202744,0.935475495
15943,245931074,1,26.3490385,2930.769852,1.857053794, J,12,0.344404697,0.020253541
15944,245931201,1,33.55900507,2919.350874,1.973052186, J,12,0.370688681,0.823825122
15945,245931262,1,19.07149452,2915.555308,2.719569784, J,12,0.037814069,0.327309129
15946,245931388,1,1.416666142,2906.066766,3.375805277, E,12,0.248263429,1.00747238
15947,245931494,1,14.68089404,2915.099143,4.007292846, J,12,0.045013308,0.329476119
15948,245931502,1,26.67722716,2905.782392,4.044575858, J,12,0.075788492,0.0005
15949,245931511,1,0.245220527,2905.628088,0.141247024, J,12,0.01845887,0.01
15950,245931583,1,1.191119456,2906.081769,7.775474396, J,12,0.027454191,0.969751703
15951,245931711,1,0.163503081,2905.646566,0.094177774, J,12,0.015935588,0.01
15952,245931914,1,26.71649831,2905.725285,3.836169151, J,12,0.077056268,0.000524586
15953,245931927,1,9.759866886,2915.131951,1.726048047, J,12,0.0436918,0.499192497
15954,245932005,1,9.764928156,2915.111311,2.201755103, J,12,0.040144375,0.331723288
15955,245932119,1,1.594168196,2905.859928,6.748830592, E,12,0.473347296,0.974562678
15956,245932122,1,1.955099456,2907.275066,0.942344052, J,12,0.020694745,0.374241648
15957,245932150,1,26.3096176,2930.768943,3.608042591, J,12,0.177227213,1.0703809
15958,245932366,1,14.4337187,2905.744873,2.389821781, J,12,0.020811192,0.403259637
15959,245932420,1,9.829701866,2915.006278,4.090163193, J,12,0.036549164,0.006708005
15960,245932429,1,28.88521987,2905.753405,2.031990259, J,12,0.030527736,0.031635959
15961,245932483,1,9.760363583,2915.132024,4.695125021, J,12,0.154368334,1.0951805
15962,245932496,1,26.69565017,2905.728852,3.100140012, J,12,0.07852466,0.017601717
15963,245932520,1,28.36710888,2930.750266,3.74719214, J,12,0.027583842,0.074797042
15964,245932711,1,9.775647823,2915.084539,2.955792812, J,12,0.028774458,0.339963671
15965,245932763,1,21.55201787,2919.05769,1.451268907, J,12,0.161831279,0.000500039
15966,245932803,1,28.3669799,2930.751888,3.83609454, J,12,0.061952703,0.602243561
15967,245932884,1,26.37023636,2930.768291,2.947542051, J,12,0.062894669,0.622260037
15968,245933160,1,9.813297737,2915.092957,0.620303154, J,12,0.048998093,0.309789859
15969,245933294,1,29.75975862,2925.143978,18.38962276, J,12,0.028718136,0.937297508
15970,245933322,1,13.78359239,2916.947683,1.059015119, J,12,0.057206247,0.63355795
15971,245933365,1,9.824361017,2915.011892,4.307659536, J,12,0.029798452,0.000466819
15972,245933594,1,24.44592664,2910.226207,2.742279472, J,12,0.032320447,0.449042215
15973,245933617,1,26.69544383,2905.731038,4.451809119, J,12,0.082623788,0.830480198
15974,245933638,1,13.809029,2916.865893,3.430941436, J,12,0.035712511,0.619422919
15975,245933871,1,1.973473773,2907.037085,0.935781439, J,12,0.021322314,0.492892968
15976,245934004,1,9.770094972,2915.092075,2.79073172, J,12,0.048445602,0.008914191
15977,245934027,1,0.143073484,2905.645818,0.082410327, J,12,0.096618098,0.01
15978,245934099,1,6.672480198,2905.754464,6.254043091, J,12,0.068601439,0.920989767
15979,245934100,1,29.04655659,2905.594954,1.594504814, J,12,0.087151301,0.242685753
15980,245934168,1,30.76851749,2924.171002,1.839419414, J,12,0.181612104,0.925708558
15981,245934221,1,26.39027527,2930.718203,4.28483631, J,12,0.047416894,0.00053783
15982,245934447,1,26.69711317,2905.729839,4.357015396, J,12,0.05778763,0.109849799
15983,245934470,1,28.34458505,2930.763264,2.199024591, J,12,0.048854139,0.556472822
15984,245934539,1,26.67597335,2905.75414,2.249222331, J,12,0.033548266,0.002148958
15985,245934860,1,14.43320005,2905.737911,4.807570662, J,12,0.031825398,0.947186648
15986,245934975,1,0.14742359,2905.605074,0.360073172, J,12,0.02885219,0.710674902
15987,245934992,1,9.77031973,2915.091845,2.509815686, J,12,0.040441572,0.340991346
15988,245935059,1,30.22823303,2924.172096,2.113456906, J,12,0.498132955,0.887972908
15989,245935072,1,28.38932216,2930.720792,4.184838884, J,12,0.030314949,0.122722238
15990,245935097,1,9.840582345,2914.968922,3.794404554, J,12,0.028156744,0.000577153
15991,245935112,1,28.43399589,2930.693194,3.367419813, J,12,0.038160606,0.570232856
15992,245935540,1,26.71559542,2905.723406,5.895323769, J,12,0.192747712,0.989764523
15993,245935542,1,9.770075444,2915.088499,2.999433059, J,12,0.018485299,0.605632956
15994,245935589,1,26.69657409,2905.736495,3.357749388, J,12,0.026475479,0.377104512
15995,245935608,1,28.41156366,2930.666796,1.889265473, J,12,0.078145295,0.273739649
15996,245935658,1,30.32669767,2928.818009,5.514377466, J,12,0.044233842,0.948077862
15997,245935743,1,39.17538117,2908.870867,3.37545839, J,12,0.115824718,0.017377375
15998,245935840,1,28.35992802,2930.746872,3.856472104, J,12,0.043907316,0.919129062
15999,245935868,1,9.83516717,2914.976067,2.706742288, J,12,0.035511865,0.489581334
16000,245935932,1,0.478384837,2905.720716,1.994443108, E,12,0.401656675,0.767421784
16001,245936014,1,24.94633151,2905.732869,3.205181473, J,12,0.025061659,0.461484041
16002,245936297,1,26.68395922,2905.741368,5.744983153, J,12,0.136052654,1.028653168
16003,245936377,1,9.754321531,2915.133243,1.73161158, J,12,0.03938894,0.631769725
16004,245936443,1,9.77013254,2915.117232,1.657773906, J,12,0.044171215,0.000507051
16005,245936531,1,9.775463678,2915.087248,2.844393165, J,12,0.037201952,0.102585521
16006,245936884,1,28.38945669,2930.739653,4.37970997, J,12,0.025643317,0.000499991
16007,245936945,1,17.80030635,2905.708677,3.213488234, J,12,0.028982269,0.916047063
16008,245937241,1,9.754066713,2915.118802,3.089851929, J,12,0.033224482,0.416252432
16009,245937253,1,9.759534586,2915.11369,2.66803334, J,12,0.040696844,0.450085809
16010,245937261,1,11.60149937,2905.779873,1.59572719, J,12,0.128307755,0.000501181
16011,245937465,1,9.829403779,2915.006799,4.099919761, J,12,0.032310864,0.036468808
16012,245937483,1,26.67657986,2905.786164,4.057223414, J,12,0.06949577,8.92e-05
16013,245937504,1,24.15618589,2906.516884,3.240138632, J,12,0.015198634,0.687418409
16014,245937664,1,9.775604833,2915.08236,3.044840276, J,12,0.029621527,0.237420376
16015,245937695,1,9.764744397,2915.130498,1.25773782, J,12,0.057968915,0.484491525
16016,245937702,1,9.770074912,2915.117835,1.581552311, J,12,0.019184994,0.000499979
16017,245937765,1,26.65539289,2905.787525,1.926210598, J,12,0.069261211,0.301290527
16018,245937780,1,9.770185556,2915.102158,2.955248046, J,12,0.031369083,0.011763095
16019,245937844,1,28.41171422,2930.71483,6.192654734, J,12,0.068235282,0.926806827
16020,245937911,1,28.90830855,2905.745809,3.604402173, J,12,0.037567575,0.102656152
16021,245937916,1,26.69557307,2905.744941,4.656210426, J,12,0.05515683,0.006487709
16022,245937966,1,9.770259131,2915.110638,1.602131897, J,12,0.032709024,0.000596509
16023,245938124,1,38.78280895,2905.734006,4.495564048, J,12,0.054290497,1.003861708
16024,245938152,1,26.37024768,2930.743144,4.734382878, J,12,0.054883087,0.904026504
16025,245938155,1,9.770305093,2915.095119,2.632979972, J,12,0.038735313,0.468585599
16026,245938164,1,26.37020122,2930.749596,3.643203979, J,12,0.055429365,0.002161091
16027,245938341,1,0.143073514,2905.686214,0.082410344, J,12,0.11131403,0.01
16028,245938354,1,26.6759934,2905.762373,3.897138, J,12,0.068345962,0.901140701
16029,245938404,1,9.770230122,2915.112162,1.743282561, J,12,0.04062067,0.550965067
16030,245938492,1,4.699584825,2906.437615,1.9661099, C,12,0.030338149,0.7447009
16031,245938500,1,26.36853252,2930.749414,5.426105185, J,12,0.218124854,1.120172613
16032,245938538,1,28.3893174,2930.728952,3.770293059, J,12,0.038825313,0.07762769
16033,245938603,1,26.71597578,2905.706066,3.877314833, J,12,0.046434248,0.000548362
16034,245938680,1,9.775758742,2915.092438,3.033524232, J,12,0.043206284,0.782234957
16035,245938704,1,24.43139585,2910.224394,2.72249347, J,12,0.3027287,1.18716883
16036,245938760,1,28.88598728,2905.752604,2.174225798, J,12,0.029454662,0.128219184
16037,245938804,1,9.829793842,2914.990479,2.826512816, J,12,0.035686956,0.58100632
16038,245938842,1,9.770184609,2915.092195,3.388405946, J,12,0.026640588,0.258374138
16039,245939156,1,26.70040271,2905.742518,4.846607586, J,12,0.048276438,0.047818689
16040,245939167,1,0.245260611,2905.775,0.141270112, J,12,0.010807252,0.01
16041,245939327,1,0.122632854,2905.585063,0.070636524, J,12,0.085215838,0.01
16042,245939331,1,13.78365585,2916.93319,1.707612844, J,12,0.042786443,0.503807604
16043,245939467,1,9.828843558,2915.012696,4.015272845, J,12,0.02645238,0.578688488
