rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,av_training_set,campaign
1,202059073,1,0.155982678,1939.204717,0.25, J,0
2,202059207,1,1.962066758,1940.250204,6.591525112, J,0
3,202059330,1,0.156603184,1939.248391,0.2909785, J,0
4,202059346,1,0.144021741,1939.235614,0.490020508, J,0
5,202059348,1,8.955597684,1945.513655,1.195838043, J,0
6,202059350,1,0.220453132,1939.119352,0.25, J,0
7,202059360,1,3.673596039,1942.535021,8.6491136, E,0
8,202059377,1,1.577332675,1939.581144,4.3062033, E,0
9,202059392,1,0.490599097,1939.388747,0.279488412, J,0
10,202059416,1,0.902176507,1939.838256,4.781529953, J,0
11,202059433,1,3.053509641,1939.33384,2.8778475, E,0
12,202059501,1,16.40873528,1940.416957,1.540701316, J,0
13,202059638,1,9.093569001,1942.794071,1.05641142, J,0
14,202060171,1,3.311034324,1941.976196,5.1316766, R,0
15,202060514,1,2.443660022,1939.910107,12.77325278, J,0
16,202060523,1,16.42799581,1946.983343,7.9966268, E,0
17,202060573,1,0.904380425,1939.729979,4.849672035, J,0
18,202060633,1,6.852638119,1941.141384,0.276308163, J,0
19,202060680,1,2.698089573,1941.62774,10.73390452, J,0
20,202060712,1,0.131925922,1939.19753,0.366501161, J,0
21,202060732,1,1.465650023,1939.662221,2.6934989, E,0
22,202060735,1,16.30723721,1941.167868,2.099079462, J,0
23,202060800,1,3.261750123,1940.679561,3.4061601, E,0
24,202060888,1,0.601335141,1939.709977,3.224552308, J,0
25,202060921,1,16.2718211,1955.086345,4.153201, R,0
26,202060995,1,0.245271072,1939.140609,0.141276137, J,0
27,202061000,1,5.868513035,1943.021174,7.5877441, E,0
28,202061003,1,8.557814374,1941.168681,1.289484439, J,0
29,202061199,1,16.18087777,1949.727268,2.130815757, J,0
30,202061216,1,0.101204793,1939.151005,0.251036874, J,0
31,202061252,1,0.143100142,1939.170658,0.082425682, J,0
32,202061318,1,15.90845927,1953.88173,4.184314412, J,0
33,202061333,1,0.102664238,1939.146242,0.25, J,0
34,202061338,1,0.153589119,1939.148761,0.279654171, J,0
35,202062419,1,1.957570764,1940.234747,3.883627672, J,0
36,202062512,1,15.8837405,1941.157743,1.599985928, J,0
37,202063158,1,0.287478769,1939.330997,0.809195223, J,0
38,202063312,1,0.117192723,1939.120689,0.25, J,0
39,202063319,1,0.168221688,1939.215086,0.66596993, J,0
40,202063347,1,0.197524868,1939.268244,0.793798584, J,0
41,202063351,1,15.88612749,1941.150256,1.376167958, J,0
42,202063357,1,0.722086898,1939.531416,3.64289617, J,0
43,202063508,1,0.142779457,1939.209583,0.25, J,0
44,202063511,1,0.122033492,1939.115344,0.346735935, J,0
45,202063527,1,0.190435181,1939.296038,0.25, J,0
46,202063530,1,0.121959503,1939.120059,0.25, J,0
47,202063611,1,0.106841821,1939.139276,0.285531138, J,0
48,202063661,1,0.130292418,1939.222979,0.40957462, J,0
49,202063678,1,0.104362841,1939.174025,0.25, J,0
50,202063859,1,0.143975441,1939.110856,0.25, J,0
51,202063922,1,0.19900888,1939.195803,0.25, J,0
52,202064140,1,0.111445853,1939.116221,0.25, J,0
